,tweet_id,tweet_body,retweet_count,reply_count,like_count,quote_count,view_count,bookmark_count,date,clean_text,text_sentiment,final_sentiment_score,Open,Close,Volume,pct_change
0,1655978502187778073,Yup,3255,3747,39533,225.0,11392206.0,281,2023-05-09,yup,0.0,0.3225841440347148,0.11837641423779165,168.9499969482422,1683590400000000000,142622.68511940187
1,1655968899903418373,Massive public manipulation,9811,2694,49528,534.0,14404853.0,1241,2023-05-09,massive public manipulation,-0.296,0.1241202773284434,0.11837641423779165,168.9499969482422,1683590400000000000,142622.68511940187
2,1646228474628280326,🤣🤣,10198,5076,108462,430.0,16690340.0,340,2023-04-12,,0.0,0.3518814813808139,-5.347599828708632,190.7400054931641,1681257600000000000,-3666.833936772435
3,1640171198091866114,Prescient,9193,5118,56272,572.0,25169601.0,3792,2023-03-27,prescient,0.0,0.3351788978653548,-1.342454806569629,194.4199981689453,1679875200000000000,-14582.424079939512
4,1742235895166652609,Congratulations Tesla team on a great year!!,5222,4154,67751,248.0,17889197.0,283,2024-01-02,congratulations tesla team on a great year,0.8402,0.9258329580192338,-0.663789047486818,250.0800018310547,1704153600000000000,-37774.62008869933
5,1674226170488057856,Improved longform posts,10230,6767,87154,661.0,32722102.0,462,2023-06-29,improved longform posts,0.4767,0.6804879926693268,-0.2054020004666991,258.0299987792969,1687996800000000000,-125721.95022103988
6,1673832186796179456,Prelude to Mars,14390,9199,177494,870.0,39561436.0,503,2023-06-27,prelude to mars,0.0,0.3664738568303489,2.865483088018997,243.2400054931641,1687824000000000000,8388.621220979669
7,1673564912948326400,Key milestone completed for flight 2,15806,6852,188012,682.0,38172495.0,603,2023-06-27,key milestone completed for flight 2,0.0,0.3678385500107506,2.865483088018997,243.2400054931641,1687824000000000000,8388.621220979669
8,1673402963757244420,"“Ads” like this where you learn or are entertained are great, as they’re effectively content.

Consider Vogue Magazine, which consists mostly of “advertisements”, but they’re so beautiful that they’re worth seeing in &amp; of themselves.",6439,4242,63926,426.0,29968049.0,1913,2023-06-26,ads like this where you learn or are entertained are great as theyre effectively content consider vogue magazine which consists mostly of advertisements but theyre so beautiful that theyre worth seeing in amp of themselves,0.9472,0.999810898693818,-3.6069916456500097,250.07000732421875,1687737600000000000,-7032.924494732341
9,1671360205056098304,Great conversation with @NarendraModi,47334,17795,481870,2922.0,71936383.0,1651,2023-06-21,great conversation with,0.6249,0.8339559518690906,-5.695494184434294,275.1300048828125,1687305600000000000,-4930.660799105703
